id,order_num,product_line,status
1,10107,cgm systems,Shipped
2,10121,cgm systems,Shipped
3,10134,cgm systems,Shipped
4,10145,cgm systems,Shipped
5,10159,cgm systems,Shipped
6,10168,cgm systems,Shipped
7,10180,cgm systems,Shipped
8,10188,cgm systems,Shipped
9,10201,cgm systems,Shipped
10,10211,cgm systems,Shipped
11,10223,cgm systems,Shipped
12,10237,cgm systems,Shipped
13,10251,cgm systems,Shipped
14,10263,cgm systems,Shipped
15,10275,cgm systems,Shipped
16,10285,cgm systems,Shipped
17,10299,cgm systems,Shipped
18,10309,cgm systems,Shipped
19,10318,cgm systems,Shipped
20,10329,cgm systems,Shipped
21,10341,cgm systems,Shipped
22,10361,cgm systems,Shipped
23,10375,cgm systems,Shipped
24,10388,cgm systems,Shipped
25,10403,cgm systems,Shipped
26,10417,cgm systems,Disputed
27,10103,wound care supplies,Shipped
28,10112,wound care supplies,Shipped
29,10126,wound care supplies,Shipped
30,10140,wound care supplies,Shipped
31,10150,wound care supplies,Shipped
32,10163,wound care supplies,Shipped
33,10174,wound care supplies,Shipped
34,10183,wound care supplies,Shipped
35,10194,wound care supplies,Shipped
36,10206,wound care supplies,Shipped
37,10215,wound care supplies,Shipped
38,10228,wound care supplies,Shipped
39,10245,wound care supplies,Shipped
40,10258,wound care supplies,Shipped
41,10270,wound care supplies,Shipped
42,10280,wound care supplies,Shipped
43,10291,wound care supplies,Shipped
44,10304,wound care supplies,Shipped
45,10312,wound care supplies,Shipped
46,10322,wound care supplies,Shipped
47,10333,wound care supplies,Shipped
48,10347,wound care supplies,Shipped
49,10357,wound care supplies,Shipped
50,10369,wound care supplies,Shipped
51,10381,wound care supplies,Shipped
52,10391,wound care supplies,Shipped
53,10411,wound care supplies,Shipped
54,10424,wound care supplies,In Process
55,10107,cgm systems,Shipped
56,10120,cgm systems,Shipped
57,10134,cgm systems,Shipped
58,10145,cgm systems,Shipped
59,10159,cgm systems,Shipped
60,10168,cgm systems,Shipped
61,10180,cgm systems,Shipped
